Sl. No.,District,count,source_file
1,Raipur,57,RS_Session_266_AU_2960_C_to_D_i.csv
2,Bilaspur,28,RS_Session_266_AU_2960_C_to_D_i.csv
3,Rajnandgaon,24,RS_Session_266_AU_2960_C_to_D_i.csv
4,Durg,19,RS_Session_266_AU_2960_C_to_D_i.csv
5,Surguja,15,RS_Session_266_AU_2960_C_to_D_i.csv
6,Janjgir-Champa,13,RS_Session_266_AU_2960_C_to_D_i.csv
7,Korba,11,RS_Session_266_AU_2960_C_to_D_i.csv
8,Mahasamund,10,RS_Session_266_AU_2960_C_to_D_i.csv
9,Balod,9,RS_Session_266_AU_2960_C_to_D_i.csv
10,Dhamtari,9,RS_Session_266_AU_2960_C_to_D_i.csv
11,Jashpur,9,RS_Session_266_AU_2960_C_to_D_i.csv
12,Raigarh,9,RS_Session_266_AU_2960_C_to_D_i.csv
13,Bemetara,8,RS_Session_266_AU_2960_C_to_D_i.csv
14,Mungeli,6,RS_Session_266_AU_2960_C_to_D_i.csv
15,Surajpur,6,RS_Session_266_AU_2960_C_to_D_i.csv
16,Balodabazar-Bhatapara,5,RS_Session_266_AU_2960_C_to_D_i.csv
17,Balrampur,5,RS_Session_266_AU_2960_C_to_D_i.csv
18,Uttar Bastar Kanker,5,RS_Session_266_AU_2960_C_to_D_i.csv
19,Bastar,4,RS_Session_266_AU_2960_C_to_D_i.csv
20,Korea,3,RS_Session_266_AU_2960_C_to_D_i.csv
21,Dakshin Bastar Dantewada,2,RS_Session_266_AU_2960_C_to_D_i.csv
22,Kabirdham (Kawardha),2,RS_Session_266_AU_2960_C_to_D_i.csv
23,Kondagaon,2,RS_Session_266_AU_2960_C_to_D_i.csv
24,Narayanpur,2,RS_Session_266_AU_2960_C_to_D_i.csv
25,Sukma,2,RS_Session_266_AU_2960_C_to_D_i.csv
26,Bijapur,1,RS_Session_266_AU_2960_C_to_D_i.csv
27,Gariyaband,1,RS_Session_266_AU_2960_C_to_D_i.csv
28,Kabeerdham,1,RS_Session_266_AU_2960_C_to_D_i.csv
29,Kanker,1,RS_Session_266_AU_2960_C_to_D_i.csv
30,Manendragarh Chirmiri Bharatpur,1,RS_Session_266_AU_2960_C_to_D_i.csv
31,Sarangarh-Bilaigarh,1,RS_Session_266_AU_2960_C_to_D_i.csv
