Sl. No,Category,route,count,source_file
1,Expressways,Mumbai - Pune,10,RS_Session_256_AU_2673_2.ii_.csv
2,Expressways,Ahmadabad - Vadodara,10,RS_Session_256_AU_2673_2.ii_.csv
3,Expressways,Delhi Agra Yamuna,20,RS_Session_256_AU_2673_2.ii_.csv
4,Expressways,Bengaluru Mysore,14,RS_Session_256_AU_2673_2.ii_.csv
5,Expressways,Bangaluru-Chennai,30,RS_Session_256_AU_2673_2.ii_.csv
6,Expressways,Surat-Mumbai,30,RS_Session_256_AU_2673_2.ii_.csv
7,Expressways,Agra-Lucknow,40,RS_Session_256_AU_2673_2.ii_.csv
8,Expressways,Eastern Peripheral (A),14,RS_Session_256_AU_2673_2.ii_.csv
9,Expressways,Hyderabad ORR,16,RS_Session_256_AU_2673_2.ii_.csv
1,Highways,Delhi - Srinagar,80,RS_Session_256_AU_2673_2.ii_.csv
2,Highways,Delhi  Kolkata,160,RS_Session_256_AU_2673_2.ii_.csv
3,Highways,Agra - Nagpur,80,RS_Session_256_AU_2673_2.ii_.csv
4,Highways,Meerut to GangotriDham,44,RS_Session_256_AU_2673_2.ii_.csv
5,Highways,Mumbai - Delhi,124,RS_Session_256_AU_2673_2.ii_.csv
6,Highways,Mumbai-Panaji,60,RS_Session_256_AU_2673_2.ii_.csv
7,Highways,Mumbai - Nagpur,70,RS_Session_256_AU_2673_2.ii_.csv
8,Highways,Mumbai - Bengaluru,100,RS_Session_256_AU_2673_2.ii_.csv
9,Highways,Kolkata - Bhubaneswar,44,RS_Session_256_AU_2673_2.ii_.csv
10,Highways,Kolkata - Nagpur,120,RS_Session_256_AU_2673_2.ii_.csv
11,Highways,Kolkata - Gangtok,76,RS_Session_256_AU_2673_2.ii_.csv
12,Highways,Chennai-Bhubaneswar,120,RS_Session_256_AU_2673_2.ii_.csv
13,Highways,Chennai - Trivendram,74,RS_Session_256_AU_2673_2.ii_.csv
14,Highways,Chennai-Ballary,62,RS_Session_256_AU_2673_2.ii_.csv
15,Highways,Chennai - Nagpur,114,RS_Session_256_AU_2673_2.ii_.csv
16,Highways,Mangaldai - Wakro,64,RS_Session_256_AU_2673_2.ii_.csv
