state,metric,count,source_file
Andaman and Nicobar Islands,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Andhra Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,354,RS_Session_267_AU_581_C_i.csv
Arunachal Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,2,RS_Session_267_AU_581_C_i.csv
Assam,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,83,RS_Session_267_AU_581_C_i.csv
Bihar,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,58,RS_Session_267_AU_581_C_i.csv
Chandigarh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
Chhattisgarh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,30,RS_Session_267_AU_581_C_i.csv
Delhi,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,41,RS_Session_267_AU_581_C_i.csv
Goa,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,9,RS_Session_267_AU_581_C_i.csv
Gujarat,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,312,RS_Session_267_AU_581_C_i.csv
Haryana,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,366,RS_Session_267_AU_581_C_i.csv
Himachal Pradesh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,21,RS_Session_267_AU_581_C_i.csv
Jammu and Kashmir,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,23,RS_Session_267_AU_581_C_i.csv
Jharkhand,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,116,RS_Session_267_AU_581_C_i.csv
Karnataka,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,370,RS_Session_267_AU_581_C_i.csv
Kerala,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,208,RS_Session_267_AU_581_C_i.csv
Ladakh,EV Charging Stations under FAME-II Subsidy Scheme - No. of EV Charger installed as on 01-01-2025,0,RS_Session_267_AU_581_C_i.csv
