highway,count,source_file
National Highway-10,1,RS_Session_259_AU_2837_B.csv
National Highway-11,3,RS_Session_259_AU_2837_B.csv
National Highway-128,1,RS_Session_259_AU_2837_B.csv
National Highway-13,3,RS_Session_259_AU_2837_B.csv
National Highway-130,1,RS_Session_259_AU_2837_B.csv
National Highway-130A,2,RS_Session_259_AU_2837_B.csv
National Highway-130B,2,RS_Session_259_AU_2837_B.csv
National Highway-130C,2,RS_Session_259_AU_2837_B.csv
National Highway-135,2,RS_Session_259_AU_2837_B.csv
National Highway-143,2,RS_Session_259_AU_2837_B.csv
National Highway-148A,2,RS_Session_259_AU_2837_B.csv
National Highway-149,2,RS_Session_259_AU_2837_B.csv
National Highway-15,4,RS_Session_259_AU_2837_B.csv
National Highway-150A,2,RS_Session_259_AU_2837_B.csv
National Highway-16,37,RS_Session_259_AU_2837_B.csv
National Highway-161A,2,RS_Session_259_AU_2837_B.csv
National Highway-163,9,RS_Session_259_AU_2837_B.csv
National Highway-167,3,RS_Session_259_AU_2837_B.csv
National Highway-167A,1,RS_Session_259_AU_2837_B.csv
National Highway-169A,2,RS_Session_259_AU_2837_B.csv
National Highway-19,5,RS_Session_259_AU_2837_B.csv
National Highway-2,5,RS_Session_259_AU_2837_B.csv
National Highway-20,2,RS_Session_259_AU_2837_B.csv
National Highway-21,1,RS_Session_259_AU_2837_B.csv
National Highway-22,3,RS_Session_259_AU_2837_B.csv
National Highway-228,2,RS_Session_259_AU_2837_B.csv
National Highway-24,7,RS_Session_259_AU_2837_B.csv
National Highway-254,2,RS_Session_259_AU_2837_B.csv
National Highway-26,4,RS_Session_259_AU_2837_B.csv
National Highway-27,2,RS_Session_259_AU_2837_B.csv
National Highway-275,2,RS_Session_259_AU_2837_B.csv
National Highway-28,3,RS_Session_259_AU_2837_B.csv
National Highway-29,1,RS_Session_259_AU_2837_B.csv
National Highway-3,4,RS_Session_259_AU_2837_B.csv
National Highway-30,12,RS_Session_259_AU_2837_B.csv
National Highway-305,1,RS_Session_259_AU_2837_B.csv
National Highway-307,5,RS_Session_259_AU_2837_B.csv
National Highway-309,3,RS_Session_259_AU_2837_B.csv
National Highway-31,1,RS_Session_259_AU_2837_B.csv
National Highway-313,1,RS_Session_259_AU_2837_B.csv
National Highway-32,1,RS_Session_259_AU_2837_B.csv
National Highway-320D,1,RS_Session_259_AU_2837_B.csv
National Highway-334,6,RS_Session_259_AU_2837_B.csv
National Highway-34,8,RS_Session_259_AU_2837_B.csv
National Highway-346,2,RS_Session_259_AU_2837_B.csv
National Highway-347,2,RS_Session_259_AU_2837_B.csv
National Highway-347B,2,RS_Session_259_AU_2837_B.csv
National Highway-35,1,RS_Session_259_AU_2837_B.csv
National Highway-353,2,RS_Session_259_AU_2837_B.csv
National Highway-365,1,RS_Session_259_AU_2837_B.csv
National Highway-39,10,RS_Session_259_AU_2837_B.csv
National Highway-40,1,RS_Session_259_AU_2837_B.csv
National Highway-43,2,RS_Session_259_AU_2837_B.csv
National Highway-44,39,RS_Session_259_AU_2837_B.csv
National Highway-46,2,RS_Session_259_AU_2837_B.csv
National Highway-47,2,RS_Session_259_AU_2837_B.csv
National Highway-48,11,RS_Session_259_AU_2837_B.csv
National Highway-49,2,RS_Session_259_AU_2837_B.csv
National Highway-5,6,RS_Session_259_AU_2837_B.csv
National Highway-50,3,RS_Session_259_AU_2837_B.csv
National Highway-507,1,RS_Session_259_AU_2837_B.csv
National Highway-515,4,RS_Session_259_AU_2837_B.csv
National Highway-52,6,RS_Session_259_AU_2837_B.csv
National Highway-53,5,RS_Session_259_AU_2837_B.csv
National Highway-539,14,RS_Session_259_AU_2837_B.csv
National Highway-55,9,RS_Session_259_AU_2837_B.csv
National Highway-565,1,RS_Session_259_AU_2837_B.csv
National Highway-58,10,RS_Session_259_AU_2837_B.csv
National Highway-59,2,RS_Session_259_AU_2837_B.csv
National Highway-6,8,RS_Session_259_AU_2837_B.csv
National Highway-63,1,RS_Session_259_AU_2837_B.csv
National Highway-64,2,RS_Session_259_AU_2837_B.csv
National Highway-648,2,RS_Session_259_AU_2837_B.csv
National Highway-65,22,RS_Session_259_AU_2837_B.csv
National Highway-66,8,RS_Session_259_AU_2837_B.csv
National Highway-67,4,RS_Session_259_AU_2837_B.csv
National Highway-7,18,RS_Session_259_AU_2837_B.csv
National Highway-716,1,RS_Session_259_AU_2837_B.csv
National Highway-727A,1,RS_Session_259_AU_2837_B.csv
National Highway-730,4,RS_Session_259_AU_2837_B.csv
National Highway-731,2,RS_Session_259_AU_2837_B.csv
National Highway-75,3,RS_Session_259_AU_2837_B.csv
National Highway-752B,2,RS_Session_259_AU_2837_B.csv
National Highway-752C,2,RS_Session_259_AU_2837_B.csv
National Highway-765,1,RS_Session_259_AU_2837_B.csv
National Highway-766,2,RS_Session_259_AU_2837_B.csv
National Highway-8,12,RS_Session_259_AU_2837_B.csv
National Highway-86,2,RS_Session_259_AU_2837_B.csv
National Highway-9,15,RS_Session_259_AU_2837_B.csv
National Highway-948A,2,RS_Session_259_AU_2837_B.csv
