year,ev_count,source_file,pct_change
2019,161314,RS_Session_255_AU_749.C.csv,
2020,119648,RS_Session_255_AU_749.C.csv,
2019,164852,RS_Session_256_AS_154.A.csv,
2020,123528,RS_Session_256_AS_154.A.csv,-25.07
2021,324840,RS_Session_256_AS_154.A.csv,162.97
2014,2391,RS_Session_259_AU_2032_A.csv,
2015,7790,RS_Session_259_AU_2032_A.csv,
2016,49622,RS_Session_259_AU_2032_A.csv,
2017,86720,RS_Session_259_AU_2032_A.csv,
2018,129125,RS_Session_259_AU_2032_A.csv,
2019,165461,RS_Session_259_AU_2032_A.csv,
2020,123092,RS_Session_259_AU_2032_A.csv,
2021,327976,RS_Session_259_AU_2032_A.csv,
2022,1015196,RS_Session_259_AU_2032_A.csv,
2023 (till 15-03-2023),256980,RS_Session_259_AU_2032_A.csv,
2020,124026,RS_Session_259_AU_2477_C_and_D.csv,
2021,329808,RS_Session_259_AU_2477_C_and_D.csv,165.9
2022,1020679,RS_Session_259_AU_2477_C_and_D.csv,209.4
2023 (Till 19-03-2023),278976,RS_Session_259_AU_2477_C_and_D.csv,
2022,4178,RS_Session_263_AU_905_A.csv,
2023,6312,RS_Session_263_AU_905_A.csv,
2024,667,RS_Session_263_AU_905_A.csv,
2019-20,173604,RS_Session_265_AU_1355_A_and_B.csv,
2020-21,142383,RS_Session_265_AU_1355_A_and_B.csv,
2021-22,459058,RS_Session_265_AU_1355_A_and_B.csv,
2022-23,1183341,RS_Session_265_AU_1355_A_and_B.csv,
2023-24,1681127,RS_Session_265_AU_1355_A_and_B.csv,
