Region,year,market_share_pct,source_file
China,2019,93.2,RS_Session_266_AU_552_D_i.csv
Europe,2019,2.9,RS_Session_266_AU_552_D_i.csv
USA,2019,1.2,RS_Session_266_AU_552_D_i.csv
Others,2019,0.6,RS_Session_266_AU_552_D_i.csv
China,2020,73.5,RS_Session_266_AU_552_D_i.csv
Europe,2020,4.1,RS_Session_266_AU_552_D_i.csv
USA,2020,1.2,RS_Session_266_AU_552_D_i.csv
Others,2020,4.7,RS_Session_266_AU_552_D_i.csv
China,2021,61.2,RS_Session_266_AU_552_D_i.csv
Europe,2021,5.7,RS_Session_266_AU_552_D_i.csv
USA,2021,1.0,RS_Session_266_AU_552_D_i.csv
Others,2021,1.2,RS_Session_266_AU_552_D_i.csv
China,2022,78.8,RS_Session_266_AU_552_D_i.csv
Europe,2022,8.7,RS_Session_266_AU_552_D_i.csv
USA,2022,2.4,RS_Session_266_AU_552_D_i.csv
Others,2022,5.7,RS_Session_266_AU_552_D_i.csv
China,2023,68.2,RS_Session_266_AU_552_D_i.csv
Europe,2023,18.8,RS_Session_266_AU_552_D_i.csv
USA,2023,2.2,RS_Session_266_AU_552_D_i.csv
Others,2023,5.0,RS_Session_266_AU_552_D_i.csv
