financial_year,budget_allocation,fund_utilization,source_file
2015-16,75.0,75.0,RS_Session_254_AU_1496.A.csv
2016-17,144.0,144.0,RS_Session_254_AU_1496.A.csv
2017-18,165.0,165.0,RS_Session_254_AU_1496.A.csv
2018-19,145.0,145.0,RS_Session_254_AU_1496.A.csv
2019-20,500.0,500.0,RS_Session_254_AU_1496.A.csv
2020-21,318.36,318.36,RS_Session_254_AU_1496.A.csv
2021-22,756.66,53.27,RS_Session_254_AU_1496.A.csv
2019-2020,500.0,500.0,RS_Session_258_AU_2037_A.csv
2020-2021,318.36,318.36,RS_Session_258_AU_2037_A.csv
2021-2022,800.0,800.0,RS_Session_258_AU_2037_A.csv
2022-2023,2903.08,1128.45,RS_Session_258_AU_2037_A.csv
2019-2020,500.0,500.0,RS_Session_259_AU_2028_A.csv
2020-2021,318.36,318.36,RS_Session_259_AU_2028_A.csv
2021-2022,800.0,800.0,RS_Session_259_AU_2028_A.csv
2022-2023,2897.84,1382.9,RS_Session_259_AU_2028_A.csv
2019-20,500.0,500.0,RS_Session_263_AU_105_A.csv
2020-21,318.36,318.36,RS_Session_263_AU_105_A.csv
2021-22,800.0,800.0,RS_Session_263_AU_105_A.csv
2022-23,2897.84,2402.51,RS_Session_263_AU_105_A.csv
2023-24,5171.97,1980.83,RS_Session_263_AU_105_A.csv
