state,count,metric,source_file
Jammu Kashmir,437,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Himachal Pradesh,241,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Punjab,764,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Chandigarh,48,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Uttarakhand,1057,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Haryana,1477,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Delhi,6413,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Rajasthan,6721,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Uttar Pradesh,6022,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Bihar,2615,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Sikkim,0,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Arunachal Pradesh,0,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Nagaland,0,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Manipur,78,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Mizoram,0,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Tripura,538,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Meghalaya,6,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Assam,407,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
West Bengal,771,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Jharkhand,817,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Odisha,1671,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Chhattisgarh,2055,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Madhya Pradesh,2953,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Gujarat,1554,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Maharashtra,9393,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Andhra Pradesh,3325,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Karnataka,19270,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Goa,241,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Lakshadweep,4,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Kerala,2068,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Tamilnadu,13515,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Puducherry,138,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Andaman and Nicobar Islands,2,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Telangana,3031,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Ladakh,0,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
The Dadra and Nagar Haveli and Daman and Diu,27,Total Number of Invoice/Sales,RS_Session_254_AU_697_1.csv
Jammu Kashmir,1036,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Himachal Pradesh,446,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Punjab,2977,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Chandigarh,154,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Uttarakhand,2288,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Haryana,4667,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Delhi,12850,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Rajasthan,14326,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Uttar Pradesh,11853,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Bihar,5255,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Sikkim,1,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Arunachal Pradesh,1,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Manipur,140,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Tripura,750,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Meghalaya,10,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Assam,827,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
West Bengal,1347,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Jharkhand,1874,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Odisha,4454,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Chhattisgarh,3573,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Madhya Pradesh,6306,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Gujarat,5839,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Maharashtra,20955,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Andhra Pradesh,6393,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
Karnataka,33483,Total Number of Invoices/Sales,RS_Session_255_AU_2349_2.csv
