state,vehicle_category,count,source_file
Andaman and Nicobar Island,Two Wheeler,1.0,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Two Wheeler,14.0,RS_Session_256_AU_95_C.csv
Assam,Two Wheeler,721.0,RS_Session_256_AU_95_C.csv
Bihar,Two Wheeler,5003.0,RS_Session_256_AU_95_C.csv
Chandigarh,Two Wheeler,298.0,RS_Session_256_AU_95_C.csv
Chhattisgarh,Two Wheeler,6424.0,RS_Session_256_AU_95_C.csv
Delhi,Two Wheeler,14730.0,RS_Session_256_AU_95_C.csv
Goa,Two Wheeler,1314.0,RS_Session_256_AU_95_C.csv
Gujarat,Two Wheeler,13662.0,RS_Session_256_AU_95_C.csv
Haryana,Two Wheeler,7777.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Two Wheeler,368.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Two Wheeler,1417.0,RS_Session_256_AU_95_C.csv
Jharkhand,Two Wheeler,2961.0,RS_Session_256_AU_95_C.csv
Karnataka,Two Wheeler,56737.0,RS_Session_256_AU_95_C.csv
Kerala,Two Wheeler,10299.0,RS_Session_256_AU_95_C.csv
Ladakh,Two Wheeler,12.0,RS_Session_256_AU_95_C.csv
Maharashtra,Two Wheeler,51149.0,RS_Session_256_AU_95_C.csv
Manipur,Two Wheeler,86.0,RS_Session_256_AU_95_C.csv
Meghalaya,Two Wheeler,16.0,RS_Session_256_AU_95_C.csv
Mizoram,Two Wheeler,9.0,RS_Session_256_AU_95_C.csv
Nagaland,Two Wheeler,44.0,RS_Session_256_AU_95_C.csv
Odisha,Two Wheeler,10329.0,RS_Session_256_AU_95_C.csv
Puducherry,Two Wheeler,1429.0,RS_Session_256_AU_95_C.csv
Punjab,Two Wheeler,6408.0,RS_Session_256_AU_95_C.csv
Rajasthan,Two Wheeler,23446.0,RS_Session_256_AU_95_C.csv
Sikkim,Two Wheeler,1.0,RS_Session_256_AU_95_C.csv
Tamil Nadu,Two Wheeler,44302.0,RS_Session_256_AU_95_C.csv
Tripura,Two Wheeler,67.0,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Two Wheeler,69.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Two Wheeler,18295.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Two Wheeler,2614.0,RS_Session_256_AU_95_C.csv
West Bengal,Two Wheeler,2540.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Three Wheeler,30.0,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Three Wheeler,,RS_Session_256_AU_95_C.csv
Assam,Three Wheeler,47041.0,RS_Session_256_AU_95_C.csv
Bihar,Three Wheeler,59079.0,RS_Session_256_AU_95_C.csv
Chandigarh,Three Wheeler,1410.0,RS_Session_256_AU_95_C.csv
Chhattisgarh,Three Wheeler,5341.0,RS_Session_256_AU_95_C.csv
Delhi,Three Wheeler,112831.0,RS_Session_256_AU_95_C.csv
Goa,Three Wheeler,28.0,RS_Session_256_AU_95_C.csv
Gujarat,Three Wheeler,1869.0,RS_Session_256_AU_95_C.csv
Haryana,Three Wheeler,18595.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Three Wheeler,167.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Three Wheeler,43.0,RS_Session_256_AU_95_C.csv
Jharkhand,Three Wheeler,8986.0,RS_Session_256_AU_95_C.csv
Karnataka,Three Wheeler,16478.0,RS_Session_256_AU_95_C.csv
Kerala,Three Wheeler,2115.0,RS_Session_256_AU_95_C.csv
Ladakh,Three Wheeler,,RS_Session_256_AU_95_C.csv
Maharashtra,Three Wheeler,6155.0,RS_Session_256_AU_95_C.csv
Manipur,Three Wheeler,443.0,RS_Session_256_AU_95_C.csv
Meghalaya,Three Wheeler,6.0,RS_Session_256_AU_95_C.csv
Mizoram,Three Wheeler,1.0,RS_Session_256_AU_95_C.csv
Nagaland,Three Wheeler,,RS_Session_256_AU_95_C.csv
Odisha,Three Wheeler,1808.0,RS_Session_256_AU_95_C.csv
Puducherry,Three Wheeler,32.0,RS_Session_256_AU_95_C.csv
Punjab,Three Wheeler,2878.0,RS_Session_256_AU_95_C.csv
Rajasthan,Three Wheeler,29631.0,RS_Session_256_AU_95_C.csv
Sikkim,Three Wheeler,,RS_Session_256_AU_95_C.csv
Tamil Nadu,Three Wheeler,4470.0,RS_Session_256_AU_95_C.csv
Tripura,Three Wheeler,7510.0,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Three Wheeler,36.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Three Wheeler,257159.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Three Wheeler,22096.0,RS_Session_256_AU_95_C.csv
West Bengal,Three Wheeler,40948.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Four Wheeler,81.0,RS_Session_256_AU_95_C.csv
Arunachal Pradesh,Four Wheeler,5.0,RS_Session_256_AU_95_C.csv
Assam,Four Wheeler,161.0,RS_Session_256_AU_95_C.csv
Bihar,Four Wheeler,114.0,RS_Session_256_AU_95_C.csv
Chandigarh,Four Wheeler,182.0,RS_Session_256_AU_95_C.csv
Chhattisgarh,Four Wheeler,117.0,RS_Session_256_AU_95_C.csv
Delhi,Four Wheeler,3051.0,RS_Session_256_AU_95_C.csv
Goa,Four Wheeler,289.0,RS_Session_256_AU_95_C.csv
Gujarat,Four Wheeler,1309.0,RS_Session_256_AU_95_C.csv
Haryana,Four Wheeler,186.0,RS_Session_256_AU_95_C.csv
Himachal Pradesh,Four Wheeler,37.0,RS_Session_256_AU_95_C.csv
Jammu and Kashmir,Four Wheeler,10.0,RS_Session_256_AU_95_C.csv
Jharkhand,Four Wheeler,139.0,RS_Session_256_AU_95_C.csv
Karnataka,Four Wheeler,7212.0,RS_Session_256_AU_95_C.csv
Kerala,Four Wheeler,2524.0,RS_Session_256_AU_95_C.csv
Ladakh,Four Wheeler,5484.0,RS_Session_256_AU_95_C.csv
Maharashtra,Four Wheeler,2.0,RS_Session_256_AU_95_C.csv
Manipur,Four Wheeler,9.0,RS_Session_256_AU_95_C.csv
Meghalaya,Four Wheeler,3.0,RS_Session_256_AU_95_C.csv
Mizoram,Four Wheeler,4.0,RS_Session_256_AU_95_C.csv
Nagaland,Four Wheeler,121.0,RS_Session_256_AU_95_C.csv
Odisha,Four Wheeler,75.0,RS_Session_256_AU_95_C.csv
Puducherry,Four Wheeler,124.0,RS_Session_256_AU_95_C.csv
Punjab,Four Wheeler,798.0,RS_Session_256_AU_95_C.csv
Rajasthan,Four Wheeler,12.0,RS_Session_256_AU_95_C.csv
Sikkim,Four Wheeler,2414.0,RS_Session_256_AU_95_C.csv
Tamil Nadu,Four Wheeler,13.0,RS_Session_256_AU_95_C.csv
Tripura,Four Wheeler,14.0,RS_Session_256_AU_95_C.csv
Dadra and Nagar Haveli and Daman and Diu,Four Wheeler,153.0,RS_Session_256_AU_95_C.csv
Uttar Pradesh,Four Wheeler,368.0,RS_Session_256_AU_95_C.csv
Uttarakhand,Four Wheeler,709.0,RS_Session_256_AU_95_C.csv
West Bengal,Four Wheeler,615.0,RS_Session_256_AU_95_C.csv
Andaman and Nicobar Island,Goods Vehicles,,RS_Session_256_AU_95_C.csv
