state,vehicle_type_code,count,source_file
Andaman and Nicobar Island,2WN,2.0,RS_Session_258_AU_91_1.csv
Andhra Pradesh,2WN,27629.0,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,2WN,14.0,RS_Session_258_AU_91_1.csv
Assam,2WN,2287.0,RS_Session_258_AU_91_1.csv
Bihar,2WN,13472.0,RS_Session_258_AU_91_1.csv
Chandigarh,2WN,1004.0,RS_Session_258_AU_91_1.csv
Chhattisgarh,2WN,20112.0,RS_Session_258_AU_91_1.csv
Delhi,2WN,43627.0,RS_Session_258_AU_91_1.csv
Goa,2WN,5555.0,RS_Session_258_AU_91_1.csv
Gujarat,2WN,67990.0,RS_Session_258_AU_91_1.csv
Haryana,2WN,17935.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,2WN,1190.0,RS_Session_258_AU_91_1.csv
Jammu and Kashmir,2WN,3294.0,RS_Session_258_AU_91_1.csv
Jharkhand,2WN,8744.0,RS_Session_258_AU_91_1.csv
Karnataka,2WN,121733.0,RS_Session_258_AU_91_1.csv
Kerala,2WN,38019.0,RS_Session_258_AU_91_1.csv
Ladakh,2WN,26.0,RS_Session_258_AU_91_1.csv
Madhya Pradesh,2WN,11623.0,RS_Session_258_AU_91_1.csv
Maharashtra,2WN,149977.0,RS_Session_258_AU_91_1.csv
Manipur,2WN,143.0,RS_Session_258_AU_91_1.csv
Meghalaya,2WN,35.0,RS_Session_258_AU_91_1.csv
Mizoram,2WN,34.0,RS_Session_258_AU_91_1.csv
Nagaland,2WN,50.0,RS_Session_258_AU_91_1.csv
Odisha,2WN,32223.0,RS_Session_258_AU_91_1.csv
Puducherry,2WN,2569.0,RS_Session_258_AU_91_1.csv
Punjab,2WN,12784.0,RS_Session_258_AU_91_1.csv
Rajasthan,2WN,69685.0,RS_Session_258_AU_91_1.csv
Sikkim,2WN,1.0,RS_Session_258_AU_91_1.csv
Tamil Nadu,2WN,96601.0,RS_Session_258_AU_91_1.csv
Tripura,2WN,196.0,RS_Session_258_AU_91_1.csv
Dadra and Nagar Haveli and Daman and Diu,2WN,126.0,RS_Session_258_AU_91_1.csv
Uttar Pradesh,2WN,38043.0,RS_Session_258_AU_91_1.csv
Uttarakhand,2WN,7537.0,RS_Session_258_AU_91_1.csv
West Bengal,2WN,9515.0,RS_Session_258_AU_91_1.csv
Andaman and Nicobar Island,2WT,5.0,RS_Session_258_AU_91_1.csv
Andhra Pradesh,2WT,,RS_Session_258_AU_91_1.csv
Arunachal Pradesh,2WT,,RS_Session_258_AU_91_1.csv
Assam,2WT,,RS_Session_258_AU_91_1.csv
Bihar,2WT,,RS_Session_258_AU_91_1.csv
Chandigarh,2WT,,RS_Session_258_AU_91_1.csv
Chhattisgarh,2WT,,RS_Session_258_AU_91_1.csv
Delhi,2WT,,RS_Session_258_AU_91_1.csv
Goa,2WT,1.0,RS_Session_258_AU_91_1.csv
Gujarat,2WT,,RS_Session_258_AU_91_1.csv
Haryana,2WT,53.0,RS_Session_258_AU_91_1.csv
Himachal Pradesh,2WT,,RS_Session_258_AU_91_1.csv
