Sl. No.,District,No. of EVPCS
1,Raipur,57
2,Bilaspur,28
3,Rajnandgaon,24
4,Durg,19
5,Surguja,15
6,Janjgir-Champa,13
7,Korba,11
8,Mahasamund,10
9,Balod,9
10,Dhamtari,9
11,Jashpur,9
12,Raigarh,9
13,Bemetara,8
14,Mungeli,6
15,Surajpur,6
16,Balodabazar-Bhatapara,5
17,Balrampur,5
18,Uttar Bastar Kanker,5
19,Bastar,4
20,Korea,3
21,Dakshin Bastar Dantewada,2
22,Kabirdham (Kawardha),2
23,Kondagaon,2
24,Narayanpur,2
25,Sukma,2
26,Bijapur,1
27,Gariyaband,1
28,Kabeerdham,1
29,Kanker,1
30,Manendragarh Chirmiri Bharatpur,1
31,Sarangarh-Bilaigarh,1
Total EVPCS (Nos.),Total EVPCS (Nos.),271
